#atomtype|element|q_min|q_max|charge_mutability|bondtype|poltype|zetatype|acmtype|epsilon_min|epsilon_max|epsilon_mutability|gamma_min|gamma_max|gamma_mutability|sigma_min|sigma_max|sigma_mutability|delta_min|delta_max|delta_mutability|radius|row|alpha_min|alpha_max|alpha_mutability|zeta_min|zeta_max|zeta_mutability|eta_min|eta_max|eta_mutability|chi_min|chi_max|chi_mutability|aexp_min|aexp_max|aexp_mutability|bexp_min|bexp_max|bexp_mutability|comment|reference
#|||||||||kJ/mol||||||nm||||||nm||A3|A3||1/nm|1/nm||eV|||eV||||||||||
v2br3|VS|-2|2|Bounded|v2br3||v2br3_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|2000|50000|Bounded|10|70|Bounded|bond virtual site|
v2i3|VS|-2|2|Bounded|v2i3||v2i3_z||0|1|Bounded|0|1|Bounded|0|0.5|Bounded|0|1|Bounded|0|0||||5|20|Bounded|4|4|Fixed|4|4|Fixed|0|0|Bounded|10|70|Bounded|bond virtual site|
v3Ow|VS|-0.3|0.3|Bounded|v3Ow||v3Ow_z||0|0|Bounded|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0||||2|10|Bounded|4|24|Bounded|4|9|Bounded|0|0|Fixed|10|10|Fixed|Water lone pair virtual site|
v3bw|VS|-1.5|-0.5|Bounded|v3bw||v3bw_z||0|0|Bounded|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0||||2|10|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Fixed|10|10|Fixed|Water bisector virtual site|
# Ions|that can not use any ACM algorithm for charges|||||||||||||||||||||||||||||||||||||||||
Be2+|Be|0|0|ACM||Be2+_s|Be2+_z|Be2+_z|0.2|0.2|Bounded|10|20|Bounded|0.08|0.2|Bounded|1|6|Bounded|0.059|1||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|beryllium ion|
Be2+_s|X|-2|-0.5|Bounded|||Be2+_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|1|0.1|0.5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|beryllium ion shell|
Ca2+|Ca|0|0|ACM||Ca2+_s|Ca2+_z|Ca2+_z|0.2|0.2|Bounded|10|20|Bounded|0.08|0.2|Bounded|1|6|Bounded|0.114|1||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|calcium ion|
Ca2+_s|X|-6|-0.5|Bounded|||Ca2+_s_z||0|0|Fixed|0|0|Fixed|0|0|Fixed|0|0|Fixed|0|1|0.1|0.5|Bounded|4|30|Bounded|||||||0|0|Fixed|10|10|Fixed|calcium ion shell|
Mg2+|Mg|0|0|ACM||Mg2+_s|Mg2+_z|Mg2+_z|0.2|0.2|Bounded|10|20|Bounded|0.08|0.2|Bounded|1|6|Bounded|0.141|1||||20|60|Bounded|4|24|Bounded|4|9|Bounded|2000|50000|Bounded|10|70|Bounded|magnesium ion|?
